benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,4.0
sieve,C++,1000000,78498,4.68883
sieve,Rust,1000000,78498,4.7
sieve,Python,1000000,78498,1155.0
sieve,JS,1000000,78498,71.4
sieve,Bun,1000000,78498,162.7
sieve,Deno,1000000,78498,52.6
sieve,Python+NumPy,1000000,78498,2.8
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,4
sieve,Poly VM,1000000,78498,6
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.798417
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,48.5
mandelbrot,JS,128,458080,3.9
mandelbrot,Bun,128,458080,3.5
mandelbrot,Deno,128,458080,3.7
mandelbrot,Python+NumPy,128,458080,17.6
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,73
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015833
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.7
nqueens,Bun,8,92,0.7
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,34
collatz,C,1000000,837799:524,163.5
collatz,C++,1000000,837799:524,167.076
collatz,Rust,1000000,837799:524,105.7
collatz,Python,1000000,837799:524,5246.3
collatz,JS,1000000,837799:524,1839.3
collatz,Bun,1000000,837799:524,365.4
collatz,Deno,1000000,837799:524,636.9
collatz,Python+NumPy,1000000,837799:524,5110.9
collatz,C# native,1000000,837799:524,173
collatz,C# vectorized,1000000,837799:524,166
collatz,Poly VM,1000000,837799:524,4486
