benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3751,3931,3814.400,0
sieve,C++,1000000,78498,5,4056.79,4256.83,4157.340,0
sieve,Rust,1000000,78498,5,3934,5404,4247.400,0
sieve,Python,1000000,78498,5,1110272,1195388,1141468.200,0
sieve,JS,1000000,78498,5,53731,55208,54227.400,0
sieve,Bun,1000000,78498,5,143254,146776,145010.200,0
sieve,Deno,1000000,78498,5,38346,42002,39818.600,0
sieve,Py+NumPy,1000000,78498,5,2010,2094,2055.600,0
sieve,C# native,1000000,78498,5,3939,4148,4055.800,0
sieve,C# vectorized,1000000,78498,5,4644,4788,4686.800,0
sieve,Poly VM,1000000,78498,5,4361,4448,4415.600,55
sieve,Poly VM (Normal),1000000,78498,5,4707,4749,4720.000,58
mandelbrot,C,128,458080,5,795,800,797.200,0
mandelbrot,C++,128,458080,5,797.166,872.667,813.258,0
mandelbrot,Rust,128,458080,5,779,813,794.400,0
mandelbrot,Python,128,458080,5,47288,49473,48478.600,0
mandelbrot,JS,128,458080,5,3071,3695,3284.200,0
mandelbrot,Bun,128,458080,5,3254,3442,3330.000,0
mandelbrot,Deno,128,458080,5,2957,3170,3084.400,0
mandelbrot,Py+NumPy,128,458080,5,26017,33855,29710.400,0
mandelbrot,C# native,128,458080,5,985,1060,1023.800,0
mandelbrot,C# vectorized,128,458080,5,988,1102,1039.800,0
mandelbrot,Poly VM,128,458080,5,1977,2387,2160.200,49
mandelbrot,Poly VM (Normal),128,458080,5,2215,2535,2312.800,50
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3363
nqueens,C,8,92,5,15,22,17.000,0
nqueens,C++,8,92,5,15.292,16.292,15.784,0
nqueens,Rust,8,92,5,15,15,15.000,0
nqueens,Python,8,92,5,598,642,622.800,0
nqueens,JS,8,92,5,610,994,733.600,0
nqueens,Bun,8,92,5,390,561,441.600,0
nqueens,Deno,8,92,5,631,653,640.200,0
nqueens,Py+NumPy,8,92,5,591,609,599.800,0
nqueens,C# native,8,92,5,151,200,172.200,0
nqueens,C# vectorized,8,92,5,157,169,160.200,0
nqueens,Poly VM,8,92,5,975,1167,1029.800,55
nqueens,Poly VM (Normal),8,92,5,1012,1053,1027.000,59
collatz,C,1000000,837799:524,5,154273,168992,161006.000,0
collatz,C++,1000000,837799:524,5,154235,171310,162456.400,0
collatz,Rust,1000000,837799:524,5,107594,120869,113076.000,0
collatz,Python,1000000,837799:524,5,5281348,6858517,5677165.800,0
collatz,JS,1000000,837799:524,5,1985565,2087722,2020916.800,0
collatz,Bun,1000000,837799:524,5,370820,382720,376063.000,0
collatz,Deno,1000000,837799:524,5,654866,790156,698835.400,0
collatz,Py+NumPy,1000000,837799:524,5,5207863,5390025,5272146.600,0
collatz,C# native,1000000,837799:524,5,177645,196144,182311.800,0
collatz,C# vectorized,1000000,837799:524,5,176959,178508,177519.600,0
collatz,Poly VM,1000000,837799:524,5,185640,188922,188051.200,51
collatz,Poly VM (Normal),1000000,837799:524,5,263668,264912,264209.600,51
