benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3770,5391,4115.800,0
sieve,C++,1000000,78498,5,4049,4482.92,4312.000,0
sieve,Rust,1000000,78498,5,3931,4428,4052.600,0
sieve,Python,1000000,78498,5,1114435,1173478,1148879.600,0
sieve,JS,1000000,78498,5,54481,56267,55414.000,0
sieve,Bun,1000000,78498,5,148347,152801,149964.600,0
sieve,Deno,1000000,78498,5,38429,42293,40031.200,0
sieve,Py+NumPy,1000000,78498,5,2022,2852,2394.000,0
sieve,C# native,1000000,78498,5,3925,4162,4055.000,0
sieve,C# vectorized,1000000,78498,5,4631,4806,4696.800,0
sieve,Poly VM,1000000,78498,5,4384,4635,4528.000,57
sieve,Poly VM (Normal),1000000,78498,5,4693,4755,4725.800,59
mandelbrot,C,128,458080,5,791,830,802.400,0
mandelbrot,C++,128,458080,5,788.041,798.375,793.202,0
mandelbrot,Rust,128,458080,5,785,812,792.400,0
mandelbrot,Python,128,458080,5,47558,49883,48608.000,0
mandelbrot,JS,128,458080,5,3086,3291,3206.600,0
mandelbrot,Bun,128,458080,5,3256,4047,3447.000,0
mandelbrot,Deno,128,458080,5,2985,3294,3151.000,0
mandelbrot,Py+NumPy,128,458080,5,19124,55560,27047.200,0
mandelbrot,C# native,128,458080,5,1086,1204,1146.600,0
mandelbrot,C# vectorized,128,458080,5,1057,1090,1075.600,0
mandelbrot,Poly VM,128,458080,5,1976,2160,2030.200,52
mandelbrot,Poly VM (Normal),128,458080,5,2294,3245,2519.200,53
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3333
nqueens,C,8,92,5,15,17,16.000,0
nqueens,C++,8,92,5,15.75,16.458,16.075,0
nqueens,Rust,8,92,5,15,16,15.800,0
nqueens,Python,8,92,5,600,636,615.000,0
nqueens,JS,8,92,5,619,807,679.600,0
nqueens,Bun,8,92,5,377,419,401.400,0
nqueens,Deno,8,92,5,624,685,650.400,0
nqueens,Py+NumPy,8,92,5,590,602,597.000,0
nqueens,C# native,8,92,5,157,160,158.800,0
nqueens,C# vectorized,8,92,5,155,163,159.200,0
nqueens,Poly VM,8,92,5,987,1029,998.000,53
nqueens,Poly VM (Normal),8,92,5,1026,1242,1073.600,61
collatz,C,1000000,837799:524,5,146938,156309,149496.400,0
collatz,C++,1000000,837799:524,5,150136,155122,151990.200,0
collatz,Rust,1000000,837799:524,5,103205,110827,105414.800,0
collatz,Python,1000000,837799:524,5,5221614,5817203,5389554.000,0
collatz,JS,1000000,837799:524,5,1829044,1937620,1890237.600,0
collatz,Bun,1000000,837799:524,5,340637,357339,346079.000,0
collatz,Deno,1000000,837799:524,5,613897,689569,635656.800,0
collatz,Py+NumPy,1000000,837799:524,5,5037807,5145360,5089244.400,0
collatz,C# native,1000000,837799:524,5,160831,161976,161319.600,0
collatz,C# vectorized,1000000,837799:524,5,161368,168988,163938.600,0
collatz,Poly VM,1000000,837799:524,5,171038,173684,172030.400,47
collatz,Poly VM (Normal),1000000,837799:524,5,233679,256670,243827.400,50
