benchmark,language,size_or_limit,result,runs,min_ms,max_ms,avg_ms,prep_ms
sieve,C,1000000,78498,5,3.8,3.9,3.8,0
sieve,C++,1000000,78498,5,4.05483,5.06463,4.5,0
sieve,Rust,1000000,78498,5,4.1,5.4,4.5,0
sieve,Python,1000000,78498,5,1097.0,1177.8,1133.8,0
sieve,JS,1000000,78498,5,53.5,55.4,54.7,0
sieve,Bun,1000000,78498,5,143.1,146.6,145.0,0
sieve,Deno,1000000,78498,5,38.3,39.7,38.8,0
sieve,Py+NumPy,1000000,78498,5,2.1,3.4,2.7,0
sieve,C# native,1000000,78498,5,3,4,3.4,0
sieve,C# vectorized,1000000,78498,5,4,6,4.8,0
sieve,Poly VM,1000000,78498,5,4,4,4.0,53
mandelbrot,C,128,458080,5,0.8,1.2,0.9,0
mandelbrot,C++,128,458080,5,0.797291,0.806041,0.8,0
mandelbrot,Rust,128,458080,5,0.8,0.8,0.8,0
mandelbrot,Python,128,458080,5,48.0,53.7,50.7,0
mandelbrot,JS,128,458080,5,3.2,4.0,3.5,0
mandelbrot,Bun,128,458080,5,3.2,3.7,3.4,0
mandelbrot,Deno,128,458080,5,3.1,3.5,3.3,0
mandelbrot,Py+NumPy,128,458080,5,23.7,29.7,25.2,0
mandelbrot,C# native,128,458080,5,0,1,0.8,0
mandelbrot,C# vectorized,128,458080,5,0,1,0.6,0
mandelbrot,Poly VM,128,458080,5,2,2,2.0,42
mandelbrot,Poly VM double,128,5,453734,453734,453734.0,3
nqueens,C,8,92,5,0.0,0.0,0.0,0
nqueens,C++,8,92,5,0.015542,0.017042,0.0,0
nqueens,Rust,8,92,5,0.0,0.0,0.0,0
nqueens,Python,8,92,5,0.6,0.6,0.6,0
nqueens,JS,8,92,5,0.6,0.8,0.7,0
nqueens,Bun,8,92,5,0.4,0.5,0.4,0
nqueens,Deno,8,92,5,0.6,0.7,0.6,0
nqueens,Py+NumPy,8,92,5,0.6,0.6,0.6,0
nqueens,C# native,8,92,5,0,0,0.0,0
nqueens,C# vectorized,8,92,5,0,0,0.0,0
nqueens,Poly VM,8,92,5,1,1,1.0,58
collatz,C,1000000,837799:524,5,147.0,152.4,149.8,0
collatz,C++,1000000,837799:524,5,151.194,152.41,151.6,0
collatz,Rust,1000000,837799:524,5,103.5,108.4,105.1,0
collatz,Python,1000000,837799:524,5,5246.3,5394.5,5307.0,0
collatz,JS,1000000,837799:524,5,1811.3,1903.5,1854.3,0
collatz,Bun,1000000,837799:524,5,336.9,351.4,342.4,0
collatz,Deno,1000000,837799:524,5,602.4,718.3,636.5,0
collatz,Py+NumPy,1000000,837799:524,5,5034.5,5128.8,5075.6,0
collatz,C# native,1000000,837799:524,5,161,199,169.2,0
collatz,C# vectorized,1000000,837799:524,5,161,166,163.2,0
collatz,Poly VM,1000000,837799:524,5,173,176,173.8,49
