benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,4.69342
sieve,Rust,1000000,78498,4.5
sieve,Python,1000000,78498,1083.6
sieve,JS,1000000,78498,68.2
sieve,Bun,1000000,78498,166.8
sieve,Deno,1000000,78498,52.1
sieve,Python+NumPy,1000000,78498,2.7
sieve,C# native,1000000,78498,3
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,5
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.811666
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,47.4
mandelbrot,JS,128,458080,3.6
mandelbrot,Bun,128,458080,3.9
mandelbrot,Deno,128,458080,4.1
mandelbrot,Python+NumPy,128,458080,17.8
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,0
mandelbrot,Poly VM,128,458080,77
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015916
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.7
nqueens,JS,8,92,0.8
nqueens,Bun,8,92,0.7
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,36
collatz,C,1000000,837799:524,147.4
collatz,C++,1000000,837799:524,162.701
collatz,Rust,1000000,837799:524,103.5
collatz,Python,1000000,837799:524,5249.8
collatz,JS,1000000,837799:524,1822.9
collatz,Bun,1000000,837799:524,359.2
collatz,Deno,1000000,837799:524,616.8
collatz,Python+NumPy,1000000,837799:524,5084.4
collatz,C# native,1000000,837799:524,165
collatz,C# vectorized,1000000,837799:524,163
collatz,Poly VM,1000000,837799:524,4480
