benchmark,language,size_or_limit,result,runs,min_ms,max_ms,avg_ms,prep_ms
sieve,C,1000000,78498,5,3.9,10.2,5.4,0
sieve,C++,1000000,78498,5,4.16396,4.43258,4.3,0
sieve,Rust,1000000,78498,5,4.0,4.2,4.0,0
sieve,Python,1000000,78498,5,1152.7,1216.1,1172.9,0
sieve,JS,1000000,78498,5,55.7,56.9,56.4,0
sieve,Bun,1000000,78498,5,151.7,154.7,152.9,0
sieve,Deno,1000000,78498,5,40.8,42.1,41.4,0
sieve,Py+NumPy,1000000,78498,5,2.0,3.2,2.4,0
sieve,C# native,1000000,78498,5,4,4,4.0,0
sieve,C# vectorized,1000000,78498,5,4,6,5.0,0
sieve,Poly VM,1000000,78498,5,5,6,5.2,63
