benchmark,language,size_or_limit,result,time_ms,prep_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,4.82683
sieve,Rust,1000000,78498,4.2
sieve,Python,1000000,78498,1113.6
sieve,JS,1000000,78498,68.5
sieve,Bun,1000000,78498,159.5
sieve,Deno,1000000,78498,51.8
sieve,Python+NumPy,1000000,78498,2.7
sieve,C# native,1000000,78498,6
sieve,C# vectorized,1000000,78498,6
sieve,Poly VM,1000000,78498,5,59
mandelbrot,C,128,458080,1.0
mandelbrot,C++,128,458080,0.81175
mandelbrot,Rust,128,458080,1.1
mandelbrot,Python,128,458080,48.0
