benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,5.5
sieve,C++,1000000,78498,4.58742
sieve,Rust,1000000,78498,4.0
sieve,Python,1000000,78498,1200.5
sieve,JS,1000000,78498,57.9
sieve,Bun,1000000,78498,168.9
sieve,Deno,1000000,78498,43.9
sieve,Python+NumPy,1000000,78498,3.2
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,7
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.809417
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,54.6
mandelbrot,JS,128,458080,3.6
mandelbrot,Bun,128,458080,3.7
mandelbrot,Deno,128,458080,6.2
mandelbrot,Python+NumPy,128,458080,26.2
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,77
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015625
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,1.4
nqueens,JS,8,92,0.9
nqueens,Bun,8,92,1.0
nqueens,Deno,8,92,0.8
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,36
collatz,C,1000000,837799:524,158.3
collatz,C++,1000000,837799:524,171.834
collatz,Rust,1000000,837799:524,110.2
collatz,Python,1000000,837799:524,5337.5
collatz,JS,1000000,837799:524,2021.0
collatz,Bun,1000000,837799:524,372.9
collatz,Deno,1000000,837799:524,653.7
collatz,Python+NumPy,1000000,837799:524,5281.3
collatz,C# native,1000000,837799:524,199
collatz,C# vectorized,1000000,837799:524,187
collatz,Poly VM,1000000,837799:524,4233
