benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3819,6789,4634.400,0
sieve,C++,1000000,78498,5,4299.83,4976.21,4586.480,0
sieve,Rust,1000000,78498,5,3949,6585,4535.000,0
sieve,Python,1000000,78498,5,1094946,1178801,1137568.600,0
sieve,JS,1000000,78498,5,54990,57034,55971.800,0
sieve,Bun,1000000,78498,5,145890,160049,150488.600,0
sieve,Deno,1000000,78498,5,38065,41359,39398.400,0
sieve,Py+NumPy,1000000,78498,5,2485,6250,3416.800,0
sieve,C# native,1000000,78498,5,3946,4133,4025.200,0
sieve,C# vectorized,1000000,78498,5,4642,4954,4753.600,0
sieve,Poly VM,1000000,78498,5,3386,3467,3418.000,58
sieve,Poly VM (Normal),1000000,78498,5,3776,4158,3917.600,62
mandelbrot,C,128,458080,5,796,827,804.400,0
mandelbrot,C++,128,458080,5,789.125,823.709,802.568,0
mandelbrot,Rust,128,458080,5,787,818,795.400,0
mandelbrot,Python,128,458080,5,48938,50840,49497.000,0
mandelbrot,JS,128,458080,5,3482,5029,4026.000,0
mandelbrot,Bun,128,458080,5,3497,7293,4367.200,0
mandelbrot,Deno,128,458080,5,3214,6360,3886.800,0
mandelbrot,Py+NumPy,128,458080,5,17635,32560,22462.600,0
mandelbrot,C# native,128,458080,5,1003,1203,1129.600,0
mandelbrot,C# vectorized,128,458080,5,1057,1348,1184.800,0
mandelbrot,Poly VM,128,458080,5,1062,1148,1093.400,48
mandelbrot,Poly VM (Normal),128,458080,5,1251,1293,1272.000,60
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,2309
nqueens,C,8,92,5,16,16,16.000,0
nqueens,C++,8,92,5,15.709,32.083,19.392,0
nqueens,Rust,8,92,5,15,15,15.000,0
nqueens,Python,8,92,5,583,643,617.800,0
nqueens,JS,8,92,5,625,930,725.400,0
nqueens,Bun,8,92,5,409,438,421.400,0
nqueens,Deno,8,92,5,637,681,662.600,0
nqueens,Py+NumPy,8,92,5,597,627,607.400,0
nqueens,C# native,8,92,5,155,182,170.200,0
nqueens,C# vectorized,8,92,5,156,182,162.000,0
nqueens,Poly VM,8,92,5,45,167,79.000,54
nqueens,Poly VM (Normal),8,92,5,47,53,49.400,70
collatz,C,1000000,837799:524,5,147139,157948,151598.800,0
collatz,C++,1000000,837799:524,5,153292,162231,156587.800,0
collatz,Rust,1000000,837799:524,5,107630,113358,111139.200,0
collatz,Python,1000000,837799:524,5,5272734,5646926,5438970.000,0
collatz,JS,1000000,837799:524,5,1848415,1942472,1906528.200,0
collatz,Bun,1000000,837799:524,5,357799,439725,385509.000,0
collatz,Deno,1000000,837799:524,5,630332,710607,669102.600,0
collatz,Py+NumPy,1000000,837799:524,5,5183675,5305639,5248918.800,0
collatz,C# native,1000000,837799:524,5,161197,181779,170465.800,0
collatz,C# vectorized,1000000,837799:524,5,165807,189186,172132.600,0
collatz,Poly VM,1000000,837799:524,5,131973,148455,139855.400,181
collatz,Poly VM (Normal),1000000,837799:524,5,182892,193916,185843.000,236
