benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,4.0
sieve,C++,1000000,78498,5.70567
sieve,Rust,1000000,78498,5.3
sieve,Python,1000000,78498,1141.5
sieve,JS,1000000,78498,76.9
sieve,Bun,1000000,78498,165.1
sieve,Deno,1000000,78498,56.9
sieve,Python+NumPy,1000000,78498,2.7
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,4
sieve,Poly VM,1000000,78498,6
mandelbrot,C,128,458080,0.9
mandelbrot,C++,128,458080,1.60904
mandelbrot,Rust,128,458080,0.9
mandelbrot,Python,128,458080,59.7
mandelbrot,JS,128,458080,5.1
mandelbrot,Bun,128,458080,4.5
mandelbrot,Deno,128,458080,3.8
mandelbrot,Python+NumPy,128,458080,34.1
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,88
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015542
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.9
nqueens,Bun,8,92,1.2
nqueens,Deno,8,92,0.8
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,34
collatz,C,1000000,837799:524,160.3
collatz,C++,1000000,837799:524,173.581
collatz,Rust,1000000,837799:524,113.3
collatz,Python,1000000,837799:524,5515.8
collatz,JS,1000000,837799:524,1901.3
collatz,Bun,1000000,837799:524,370.1
collatz,Deno,1000000,837799:524,683.1
collatz,Python+NumPy,1000000,837799:524,5224.1
collatz,C# native,1000000,837799:524,163
collatz,C# vectorized,1000000,837799:524,166
collatz,Poly VM,1000000,837799:524,5028
