benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3842,5167,4425.600,0
sieve,C++,1000000,78498,5,4257.25,4502.92,4369.600,0
sieve,Rust,1000000,78498,5,3945,4597,4269.800,0
sieve,Python,1000000,78498,5,1130520,1309017,1204327.400,0
sieve,JS,1000000,78498,5,53703,55600,54377.200,0
sieve,Bun,1000000,78498,5,143600,154500,148407.000,0
sieve,Deno,1000000,78498,5,38370,41522,39806.400,0
sieve,Py+NumPy,1000000,78498,5,1927,2994,2407.600,0
sieve,C# native,1000000,78498,5,3912,4296,4101.000,0
sieve,C# vectorized,1000000,78498,5,4656,4920,4762.600,0
sieve,Poly VM,1000000,78498,5,4170,4504,4378.000,50
sieve,Poly VM (Normal),1000000,78498,5,4724,4820,4773.800,58
mandelbrot,C,128,458080,5,798,822,808.400,0
mandelbrot,C++,128,458080,5,788.5,821.667,811.052,0
mandelbrot,Rust,128,458080,5,783,823,797.200,0
mandelbrot,Python,128,458080,5,47531,49159,48262.400,0
mandelbrot,JS,128,458080,5,3054,3385,3209.000,0
mandelbrot,Bun,128,458080,5,3259,3456,3348.800,0
mandelbrot,Deno,128,458080,5,3188,4402,3673.000,0
mandelbrot,Py+NumPy,128,458080,5,18107,25825,21799.600,0
mandelbrot,C# native,128,458080,5,991,1048,1006.400,0
mandelbrot,C# vectorized,128,458080,5,995,1248,1081.200,0
mandelbrot,Poly VM,128,458080,5,2021,2127,2070.800,46
mandelbrot,Poly VM (Normal),128,458080,5,6035,6588,6359.200,50
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3368
nqueens,C,8,92,5,15,17,16.200,0
nqueens,C++,8,92,5,15.458,16.208,15.842,0
nqueens,Rust,8,92,5,15,26,17.200,0
nqueens,Python,8,92,5,575,654,621.800,0
nqueens,JS,8,92,5,598,652,620.200,0
nqueens,Bun,8,92,5,392,629,460.200,0
nqueens,Deno,8,92,5,610,644,628.000,0
nqueens,Py+NumPy,8,92,5,588,649,617.800,0
nqueens,C# native,8,92,5,149,160,155.200,0
nqueens,C# vectorized,8,92,5,149,174,157.600,0
nqueens,Poly VM,8,92,5,1135,1281,1188.200,63
nqueens,Poly VM (Normal),8,92,5,1226,1303,1263.000,62
collatz,C,1000000,837799:524,5,148669,150283,149547.800,0
collatz,C++,1000000,837799:524,5,150398,155676,152611.000,0
collatz,Rust,1000000,837799:524,5,103832,111714,107879.600,0
collatz,Python,1000000,837799:524,5,5232589,5364235,5277112.200,0
collatz,JS,1000000,837799:524,5,1867263,1968882,1909849.800,0
collatz,Bun,1000000,837799:524,5,349368,362627,358733.000,0
collatz,Deno,1000000,837799:524,5,610467,682653,630850.000,0
collatz,Py+NumPy,1000000,837799:524,5,5077869,5305879,5139544.800,0
collatz,C# native,1000000,837799:524,5,161109,172549,166788.600,0
collatz,C# vectorized,1000000,837799:524,5,161748,172225,165786.800,0
collatz,Poly VM,1000000,837799:524,5,173256,177936,174627.600,50
collatz,Poly VM (Normal),1000000,837799:524,5,929246,933226,930579.400,49
