benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3778,4083,3913.000,0
sieve,C++,1000000,78498,5,4078.46,5729.08,4677.100,0
sieve,Rust,1000000,78498,5,4179,4722,4395.800,0
sieve,Python,1000000,78498,5,1172544,1431694,1255834.800,0
sieve,JS,1000000,78498,5,57872,59159,58431.000,0
sieve,Bun,1000000,78498,5,154609,156194,155481.600,0
sieve,Deno,1000000,78498,5,40337,42663,41609.800,0
sieve,Py+NumPy,1000000,78498,5,2109,2723,2274.800,0
sieve,C# native,1000000,78498,5,4364,4455,4401.200,0
sieve,C# vectorized,1000000,78498,5,5179,6186,5810.000,0
sieve,Poly VM,1000000,78498,5,4587,4949,4733.200,64
sieve,Poly VM (Normal),1000000,78498,5,5038,5254,5093.600,58
mandelbrot,C,128,458080,5,788,835,807.800,0
mandelbrot,C++,128,458080,5,795.208,929.417,837.008,0
mandelbrot,Rust,128,458080,5,780,1175,863.600,0
mandelbrot,Python,128,458080,5,48962,53443,50981.000,0
mandelbrot,JS,128,458080,5,3299,4146,3674.000,0
mandelbrot,Bun,128,458080,5,3391,5434,4413.800,0
mandelbrot,Deno,128,458080,5,3271,3825,3496.800,0
mandelbrot,Py+NumPy,128,458080,5,17422,26544,21018.400,0
mandelbrot,C# native,128,458080,5,1105,1342,1178.400,0
mandelbrot,C# vectorized,128,458080,5,1078,1450,1203.800,0
mandelbrot,Poly VM,128,458080,5,2066,2163,2110.800,51
mandelbrot,Poly VM (Normal),128,458080,5,6118,6574,6389.400,54
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3382
nqueens,C,8,92,5,16,17,16.200,0
nqueens,C++,8,92,5,15.375,16.375,15.767,0
nqueens,Rust,8,92,5,15,16,15.800,0
nqueens,Python,8,92,5,627,1333,776.400,0
nqueens,JS,8,92,5,621,656,643.400,0
nqueens,Bun,8,92,5,629,1766,958.200,0
nqueens,Deno,8,92,5,623,716,661.400,0
nqueens,Py+NumPy,8,92,5,618,705,640.600,0
nqueens,C# native,8,92,5,165,186,176.600,0
nqueens,C# vectorized,8,92,5,165,195,180.200,0
nqueens,Poly VM,8,92,5,998,1083,1033.400,58
nqueens,Poly VM (Normal),8,92,5,1101,1212,1156.600,63
collatz,C,1000000,837799:524,5,160177,168344,163896.600,0
collatz,C++,1000000,837799:524,5,167567,230816,182648.600,0
collatz,Rust,1000000,837799:524,5,114148,118008,115715.200,0
collatz,Python,1000000,837799:524,5,5478798,5938433,5631307.600,0
collatz,JS,1000000,837799:524,5,2075034,2155297,2112632.800,0
collatz,Bun,1000000,837799:524,5,380434,413107,391638.800,0
collatz,Deno,1000000,837799:524,5,653796,792761,689927.600,0
collatz,Py+NumPy,1000000,837799:524,5,5251520,5361235,5290181.400,0
collatz,C# native,1000000,837799:524,5,175596,187393,178692.400,0
collatz,C# vectorized,1000000,837799:524,5,177182,223091,190351.800,0
collatz,Poly VM,1000000,837799:524,5,183840,190377,187426.200,46
collatz,Poly VM (Normal),1000000,837799:524,5,964506,981086,969019.600,58
