benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,4.27154
sieve,Rust,1000000,78498,3.9
sieve,Python,1000000,78498,1141.7
sieve,JS,1000000,78498,69.5
sieve,Bun,1000000,78498,160.4
sieve,Deno,1000000,78498,51.8
sieve,Python+NumPy,1000000,78498,2.7
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,6
mandelbrot,C,128,458080,0.9
mandelbrot,C++,128,458080,0.803625
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,47.7
mandelbrot,JS,128,458080,3.5
mandelbrot,Bun,128,458080,3.6
mandelbrot,Deno,128,458080,3.5
mandelbrot,Python+NumPy,128,458080,17.6
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,74
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.016666
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.7
nqueens,Bun,8,92,0.8
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,36
collatz,C,1000000,837799:524,147.1
collatz,C++,1000000,837799:524,166.96
collatz,Rust,1000000,837799:524,103.4
collatz,Python,1000000,837799:524,5246.7
collatz,JS,1000000,837799:524,1837.3
collatz,Bun,1000000,837799:524,353.5
collatz,Deno,1000000,837799:524,607.0
collatz,Python+NumPy,1000000,837799:524,5108.2
collatz,C# native,1000000,837799:524,170
collatz,C# vectorized,1000000,837799:524,170
collatz,Poly VM,1000000,837799:524,3869
