benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3800,4147,3919.200,0
sieve,C++,1000000,78498,5,4191.58,7338.83,5472.980,0
sieve,Rust,1000000,78498,5,4146,6500,5373.200,0
sieve,Python,1000000,78498,5,1215161,1623493,1369012.000,0
sieve,JS,1000000,78498,5,55086,61243,56706.000,0
sieve,Bun,1000000,78498,5,148828,254404,177724.800,0
sieve,Deno,1000000,78498,5,39920,41967,40431.800,0
sieve,Py+NumPy,1000000,78498,5,2028,2443,2184.200,0
sieve,C# native,1000000,78498,5,4156,4323,4247.800,0
sieve,C# vectorized,1000000,78498,5,4749,5554,5201.800,0
sieve,Poly VM,1000000,78498,5,4515,4725,4626.800,65
sieve,Poly VM (Normal),1000000,78498,5,4743,5036,4864.800,56
mandelbrot,C,128,458080,5,797,827,810.400,0
mandelbrot,C++,128,458080,5,801.917,806.625,804.560,0
mandelbrot,Rust,128,458080,5,786,841,810.000,0
mandelbrot,Python,128,458080,5,48076,51876,49358.000,0
mandelbrot,JS,128,458080,5,3263,3495,3358.000,0
mandelbrot,Bun,128,458080,5,3275,4092,3463.000,0
mandelbrot,Deno,128,458080,5,3155,3292,3219.200,0
mandelbrot,Py+NumPy,128,458080,5,21571,32932,26930.000,0
mandelbrot,C# native,128,458080,5,1052,1283,1112.400,0
mandelbrot,C# vectorized,128,458080,5,1061,1148,1098.600,0
mandelbrot,Poly VM,FAILED
mandelbrot,Poly VM (Normal),FAILED
mandelbrot,Poly VM double,FAILED
nqueens,C,8,92,5,16,22,17.200,0
nqueens,C++,8,92,5,15.5,17.25,16.050,0
nqueens,Rust,8,92,5,15,16,15.200,0
nqueens,Python,8,92,5,617,644,632.800,0
nqueens,JS,8,92,5,633,796,703.200,0
nqueens,Bun,8,92,5,382,1042,590.400,0
nqueens,Deno,8,92,5,642,697,666.000,0
nqueens,Py+NumPy,8,92,5,601,1025,770.000,0
nqueens,C# native,8,92,5,156,168,162.400,0
nqueens,C# vectorized,8,92,5,157,170,160.400,0
nqueens,Poly VM,8,92,5,991,1061,1017.200,58
nqueens,Poly VM (Normal),8,92,5,1012,1079,1047.600,59
collatz,C,1000000,837799:524,5,151374,166064,155661.400,0
collatz,C++,1000000,837799:524,5,153437,164523,159165.400,0
collatz,Rust,1000000,837799:524,5,108394,113162,110507.600,0
collatz,Python,1000000,837799:524,5,5272943,5372545,5326476.600,0
collatz,JS,1000000,837799:524,5,1835307,1961660,1882919.000,0
collatz,Bun,1000000,837799:524,5,354359,365623,360179.000,0
collatz,Deno,1000000,837799:524,5,634807,659597,644726.600,0
collatz,Py+NumPy,1000000,837799:524,5,5118061,5203254,5165110.800,0
collatz,C# native,1000000,837799:524,5,163288,175915,168245.400,0
collatz,C# vectorized,1000000,837799:524,5,164423,183405,173778.000,0
collatz,Poly VM,1000000,837799:524,5,152623,173748,160800.600,45
collatz,Poly VM (Normal),1000000,837799:524,5,227718,252299,235791.200,49
