benchmark,language,size_or_limit,result,runs,min_ms,max_ms,avg_ms,prep_ms
sieve,C,1000000,78498,5,3.8,4.2,3.9,0
sieve,C++,1000000,78498,5,4.05971,4.37708,4.2,0
sieve,Rust,1000000,78498,5,3.9,4.1,4.0,0
sieve,Python,1000000,78498,5,1097.1,1220.7,1150.6,0
sieve,JS,1000000,78498,5,54.1,56.4,55.1,0
sieve,Bun,1000000,78498,5,146.4,147.8,147.1,0
sieve,Deno,1000000,78498,5,39.8,40.6,40.1,0
sieve,Py+NumPy,1000000,78498,5,2.0,4.1,2.5,0
sieve,C# native,1000000,78498,5,4,4,4.0,0
sieve,C# vectorized,1000000,78498,5,4,4,4.0,0
sieve,Poly VM,1000000,78498,5,5,5,5.0,58
mandelbrot,C,128,458080,5,0.8,0.8,0.8,0
mandelbrot,C++,128,458080,5,0.796042,0.812875,0.8,0
mandelbrot,Rust,128,458080,5,0.8,0.8,0.8,0
mandelbrot,Python,128,458080,5,47.9,49.8,48.5,0
mandelbrot,JS,128,458080,5,3.3,3.3,3.3,0
mandelbrot,Bun,128,458080,5,3.3,4.1,3.5,0
mandelbrot,Deno,128,458080,5,3.1,3.4,3.2,0
mandelbrot,Py+NumPy,128,458080,5,19.3,26.9,24.3,0
mandelbrot,C# native,128,458080,5,1,1,1.0,0
mandelbrot,C# vectorized,128,458080,5,1,1,1.0,0
mandelbrot,Poly VM,128,458080,5,22,23,22.4,53
mandelbrot,Poly VM double,128,5,453734,453734,453734.0,16
nqueens,C,8,92,5,0.0,0.0,0.0,0
nqueens,C++,8,92,5,0.015625,0.016916,0.0,0
nqueens,Rust,8,92,5,0.0,0.0,0.0,0
nqueens,Python,8,92,5,0.6,0.6,0.6,0
nqueens,JS,8,92,5,0.6,0.9,0.7,0
nqueens,Bun,8,92,5,0.4,0.5,0.4,0
nqueens,Deno,8,92,5,0.6,0.8,0.7,0
nqueens,Py+NumPy,8,92,5,0.6,0.6,0.6,0
nqueens,C# native,8,92,5,0,0,0.0,0
nqueens,C# vectorized,8,92,5,0,0,0.0,0
nqueens,Poly VM,8,92,5,1,1,1.0,65
collatz,C,1000000,837799:524,5,149.7,189.5,161.0,0
collatz,C++,1000000,837799:524,5,153.651,209.954,169.4,0
collatz,Rust,1000000,837799:524,5,111.5,113.5,112.4,0
collatz,Python,1000000,837799:524,5,5377.3,5487.4,5443.4,0
collatz,JS,1000000,837799:524,5,1958.5,2109.7,2036.6,0
collatz,Bun,1000000,837799:524,5,363.7,369.7,366.2,0
collatz,Deno,1000000,837799:524,5,639.8,709.7,671.1,0
collatz,Py+NumPy,1000000,837799:524,5,5097.5,5579.1,5250.5,0
collatz,C# native,1000000,837799:524,5,164,170,167.6,0
collatz,C# vectorized,1000000,837799:524,5,165,175,169.6,0
collatz,Poly VM,1000000,837799:524,5,3037,3141,3080.0,48
