benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3710,3787,3755.000,0
sieve,C++,1000000,78498,5,4093,4132.83,4119.120,0
sieve,Rust,1000000,78498,5,3900,3938,3921.600,0
sieve,Python,1000000,78498,5,1159298,1311953,1262670.400,0
sieve,JS,1000000,78498,5,49743,54972,51657.200,0
sieve,Bun,1000000,78498,5,147425,230926,176815.200,0
sieve,Deno,1000000,78498,5,31359,33318,32288.200,0
sieve,Py+NumPy,1000000,78498,5,2210,2961,2583.000,0
sieve,C# native,1000000,78498,5,3748,4060,3868.000,0
sieve,C# vectorized,1000000,78498,5,1028,2206,1286.000,0
sieve,Poly VM,1000000,78498,5,3494,3658,3541.600,54
sieve,Poly VM (Normal),1000000,78498,5,3798,4245,4030.000,63
mandelbrot,C,128,458080,5,791,798,793.800,0
mandelbrot,C++,128,458080,5,789.666,793.916,791.678,0
mandelbrot,Rust,128,458080,5,780,790,784.600,0
mandelbrot,Python,128,458080,5,49426,55082,52627.400,0
mandelbrot,JS,128,458080,5,2462,2806,2584.800,0
mandelbrot,Bun,128,458080,5,2639,2859,2718.600,0
mandelbrot,Deno,128,458080,5,2483,2566,2510.600,0
mandelbrot,Py+NumPy,128,458080,5,16968,25646,19723.400,0
mandelbrot,C# native,128,458080,5,760,802,775.800,0
mandelbrot,C# vectorized,128,458080,5,769,818,796.600,0
mandelbrot,Poly VM,128,458080,5,1052,1303,1108.600,49
mandelbrot,Poly VM (Normal),128,458080,5,1518,1597,1560.400,57
mandelbrot,Poly VM double (bits),128,453734,5,2283,2614,2395.600,56
mandelbrot,mandelbrot_polyvm_double,FAILED
nqueens,C,8,92,5,8,9,8.200,0
nqueens,C++,8,92,5,15.458,16.625,16.008,0
nqueens,Rust,8,92,5,8,8,8.000,0
nqueens,Python,8,92,5,617,630,623.000,0
nqueens,JS,8,92,5,45,50,47.800,0
nqueens,Bun,8,92,5,95,292,158.200,0
nqueens,Deno,8,92,5,36,46,39.600,0
nqueens,Py+NumPy,8,92,5,586,599,593.800,0
nqueens,C# native,8,92,5,29,30,29.600,0
nqueens,C# vectorized,8,92,5,30,32,30.400,0
nqueens,Poly VM,8,92,5,41,49,44.000,64
nqueens,Poly VM (Normal),8,92,5,50,62,53.400,66
collatz,C,1000000,837799:524,5,156966,164773,158673.600,0
collatz,C++,1000000,837799:524,5,160545,171923,164134.400,0
collatz,Rust,1000000,837799:524,5,108880,117174,112281.200,0
collatz,Python,1000000,837799:524,5,5260597,5689185,5451686.400,0
collatz,JS,1000000,837799:524,5,2061317,2095979,2076772.600,0
collatz,Bun,1000000,837799:524,5,359010,388056,368745.400,0
collatz,Deno,1000000,837799:524,5,673023,740672,697486.000,0
collatz,Py+NumPy,1000000,837799:524,5,5001774,5405437,5159797.600,0
collatz,C# native,1000000,837799:524,5,160401,178028,166626.000,0
collatz,C# vectorized,1000000,837799:524,5,162908,171934,167731.400,0
collatz,Poly VM,1000000,837799:524,5,134212,142936,137317.000,202
collatz,Poly VM (Normal),1000000,837799:524,5,227291,232450,229284.400,300
