benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.7
sieve,C++,1000000,78498,4.55196
sieve,Rust,1000000,78498,4.0
sieve,Python,1000000,78498,1100.4
sieve,JS,1000000,78498,68.6
sieve,Bun,1000000,78498,161.7
sieve,Deno,1000000,78498,55.6
sieve,Python+NumPy,1000000,78498,2.7
sieve,C# native,1000000,78498,5
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,26
mandelbrot,C,128,458080,0.7
mandelbrot,C++,128,458080,0.879875
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,47.8
mandelbrot,JS,128,458080,3.6
mandelbrot,Bun,128,458080,4.7
mandelbrot,Deno,128,458080,3.5
mandelbrot,Python+NumPy,128,458080,17.2
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,16
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015833
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.7
nqueens,Bun,8,92,0.8
nqueens,Deno,8,92,0.6
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,13
collatz,C,1000000,837799:524,147.1
collatz,C++,1000000,837799:524,164.989
collatz,Rust,1000000,837799:524,113.6
collatz,Python,1000000,837799:524,5311.8
collatz,JS,1000000,837799:524,1823.7
collatz,Bun,1000000,837799:524,353.7
collatz,Deno,1000000,837799:524,602.3
collatz,Python+NumPy,1000000,837799:524,5059.6
collatz,C# native,1000000,837799:524,172
collatz,C# vectorized,1000000,837799:524,172
collatz,Poly VM,1000000,837799:524,544
