benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,4.60042
sieve,Rust,1000000,78498,3.9
sieve,Python,1000000,78498,1118.9
sieve,JS,1000000,78498,70.4
sieve,Bun,1000000,78498,167.8
sieve,Deno,1000000,78498,52.6
sieve,Python+NumPy,1000000,78498,2.6
sieve,C# native,1000000,78498,6
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,3
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.827291
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,48.0
mandelbrot,JS,128,458080,3.6
mandelbrot,Bun,128,458080,3.6
mandelbrot,Deno,128,458080,3.7
mandelbrot,Python+NumPy,128,458080,19.8
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,16
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015917
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.8
nqueens,Bun,8,92,0.7
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,14
collatz,C,1000000,837799:524,148.7
collatz,C++,1000000,837799:524,164.687
collatz,Rust,1000000,837799:524,104.4
collatz,Python,1000000,837799:524,5256.7
collatz,JS,1000000,837799:524,1824.8
collatz,Bun,1000000,837799:524,359.6
collatz,Deno,1000000,837799:524,602.2
collatz,Python+NumPy,1000000,837799:524,5082.0
collatz,C# native,1000000,837799:524,166
collatz,C# vectorized,1000000,837799:524,174
collatz,Poly VM,1000000,837799:524,418
