benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3771,3833,3804.400,0
sieve,C++,1000000,78498,5,4291.46,8196.75,5386.620,0
sieve,Rust,1000000,78498,5,3965,5197,4228.200,0
sieve,Python,1000000,78498,5,1124723,1645768,1259947.000,0
sieve,JS,1000000,78498,5,55756,64350,57974.400,0
sieve,Bun,1000000,78498,5,144377,152914,147683.000,0
sieve,Deno,1000000,78498,5,39252,41094,40434.000,0
sieve,Py+NumPy,1000000,78498,5,2018,4345,2891.000,0
sieve,C# native,1000000,78498,5,3913,4220,4001.600,0
sieve,C# vectorized,1000000,78498,5,4460,4701,4551.400,0
sieve,Poly VM,1000000,78498,5,4429,4543,4489.000,54
sieve,Poly VM (Normal),1000000,78498,5,4697,4860,4762.600,57
mandelbrot,C,128,458080,5,788,887,815.400,0
mandelbrot,C++,128,458080,5,787.583,829.666,805.850,0
mandelbrot,Rust,128,458080,5,779,798,789.200,0
mandelbrot,Python,128,458080,5,50389,55110,53155.600,0
mandelbrot,JS,128,458080,5,3098,5823,3831.400,0
mandelbrot,Bun,128,458080,5,3308,3530,3451.800,0
mandelbrot,Deno,128,458080,5,3189,3342,3241.600,0
mandelbrot,Py+NumPy,128,458080,5,17306,32110,23104.000,0
mandelbrot,C# native,128,458080,5,1061,1203,1098.000,0
mandelbrot,C# vectorized,128,458080,5,1057,1277,1125.200,0
mandelbrot,Poly VM,128,458080,5,1974,2041,2011.000,49
mandelbrot,Poly VM (Normal),128,458080,5,2245,2257,2248.600,51
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3299
nqueens,C,8,92,5,16,17,16.400,0
nqueens,C++,8,92,5,15.292,16.708,15.875,0
nqueens,Rust,8,92,5,15,16,15.400,0
nqueens,Python,8,92,5,585,643,623.200,0
nqueens,JS,8,92,5,624,723,657.800,0
nqueens,Bun,8,92,5,412,705,480.400,0
nqueens,Deno,8,92,5,615,702,641.400,0
nqueens,Py+NumPy,8,92,5,593,607,599.200,0
nqueens,C# native,8,92,5,148,159,156.400,0
nqueens,C# vectorized,8,92,5,147,161,154.400,0
nqueens,Poly VM,8,92,5,984,1056,1023.000,55
nqueens,Poly VM (Normal),8,92,5,1011,1039,1026.600,58
collatz,C,1000000,837799:524,5,150229,154713,153198.600,0
collatz,C++,1000000,837799:524,5,152148,158567,156045.000,0
collatz,Rust,1000000,837799:524,5,103319,111675,107669.000,0
collatz,Python,1000000,837799:524,5,5241456,5525891,5348292.400,0
collatz,JS,1000000,837799:524,5,1827374,1947358,1911266.600,0
collatz,Bun,1000000,837799:524,5,339741,348143,343724.000,0
collatz,Deno,1000000,837799:524,5,615289,683875,636810.400,0
collatz,Py+NumPy,1000000,837799:524,5,5060052,5154877,5096961.600,0
collatz,C# native,1000000,837799:524,5,161087,177756,166784.800,0
collatz,C# vectorized,1000000,837799:524,5,161598,162708,162288.800,0
collatz,Poly VM,1000000,837799:524,5,171172,195059,176879.400,47
collatz,Poly VM (Normal),1000000,837799:524,5,237960,257144,243988.600,51
