benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3741,3946,3809.600,0
sieve,C++,1000000,78498,5,3999.21,4576.42,4140.720,0
sieve,Rust,1000000,78498,5,3911,3998,3936.600,0
sieve,Python,1000000,78498,5,1107434,1176578,1133476.200,0
sieve,JS,1000000,78498,5,47304,48164,47623.400,0
sieve,Bun,1000000,78498,5,138943,141523,139638.200,0
sieve,Deno,1000000,78498,5,31831,32480,32204.200,0
sieve,Py+NumPy,1000000,78498,5,1887,3747,2519.000,0
sieve,C# native,1000000,78498,5,3528,3715,3580.800,0
sieve,C# vectorized,1000000,78498,5,959,1068,1003.200,0
sieve,Poly VM,1000000,78498,5,3420,3448,3432.600,50
sieve,Poly VM (Normal),1000000,78498,5,3806,3890,3853.600,53
mandelbrot,C,128,458080,5,788,804,797.000,0
mandelbrot,C++,128,458080,5,790.625,827.834,808.084,0
mandelbrot,Rust,128,458080,5,778,824,798.800,0
mandelbrot,Python,128,458080,5,47406,48205,47801.600,0
mandelbrot,JS,128,458080,5,2317,2505,2430.800,0
mandelbrot,Bun,128,458080,5,2662,2671,2668.200,0
mandelbrot,Deno,128,458080,5,2284,2532,2368.800,0
mandelbrot,Py+NumPy,128,458080,5,17073,23661,20304.000,0
mandelbrot,C# native,128,458080,5,707,773,742.200,0
mandelbrot,C# vectorized,128,458080,5,706,772,729.400,0
mandelbrot,Poly VM,128,458080,5,999,1088,1049.400,46
mandelbrot,Poly VM (Normal),128,458080,5,1262,1316,1275.600,49
mandelbrot,Poly VM double (bits),128,453734,5,2124,2228,2155.800,49
mandelbrot,mandelbrot_polyvm_double,FAILED
nqueens,C,8,92,5,8,9,8.600,0
nqueens,C++,8,92,5,15.5,17.125,16.067,0
nqueens,Rust,8,92,5,8,8,8.000,0
nqueens,Python,8,92,5,600,623,615.000,0
nqueens,JS,8,92,5,43,49,46.200,0
nqueens,Bun,8,92,5,92,144,104.800,0
nqueens,Deno,8,92,5,32,35,34.000,0
nqueens,Py+NumPy,8,92,5,584,711,623.400,0
nqueens,C# native,8,92,5,27,32,29.400,0
nqueens,C# vectorized,8,92,5,28,32,29.800,0
nqueens,Poly VM,8,92,5,41,42,41.400,46
nqueens,Poly VM (Normal),8,92,5,47,49,48.000,48
collatz,C,1000000,837799:524,5,148520,151630,149359.200,0
collatz,C++,1000000,837799:524,5,151414,152619,152027.200,0
collatz,Rust,1000000,837799:524,5,103258,109625,105883.000,0
collatz,Python,1000000,837799:524,5,5205521,5272970,5235930.400,0
collatz,JS,1000000,837799:524,5,1974549,2071863,2009606.200,0
collatz,Bun,1000000,837799:524,5,338316,347012,341010.000,0
collatz,Deno,1000000,837799:524,5,632682,764764,674734.800,0
collatz,Py+NumPy,1000000,837799:524,5,5071078,5151670,5103974.400,0
collatz,C# native,1000000,837799:524,5,161442,166006,162504.800,0
collatz,C# vectorized,1000000,837799:524,5,161626,164760,162858.400,0
collatz,Poly VM,1000000,837799:524,5,133244,134030,133695.600,179
collatz,Poly VM (Normal),1000000,837799:524,5,183416,186737,184977.000,233
