benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,4.8
sieve,C++,1000000,78498,5.06883
sieve,Rust,1000000,78498,5.3
sieve,Python,1000000,78498,1263.9
sieve,JS,1000000,78498,66.9
sieve,Bun,1000000,78498,235.9
sieve,Deno,1000000,78498,46.9
sieve,Python+NumPy,1000000,78498,3.1
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,8
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.802042
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,54.2
mandelbrot,JS,128,458080,3.9
mandelbrot,Bun,128,458080,3.5
mandelbrot,Deno,128,458080,3.3
mandelbrot,Python+NumPy,128,458080,20.4
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,85
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015917
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.7
nqueens,Bun,8,92,1.2
nqueens,Deno,8,92,0.9
nqueens,Python+NumPy,8,92,0.9
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,41
collatz,C,1000000,837799:524,172.5
collatz,C++,1000000,837799:524,181.873
collatz,Rust,1000000,837799:524,122.3
collatz,Python,1000000,837799:524,5731.6
collatz,JS,1000000,837799:524,2112.7
collatz,Bun,1000000,837799:524,400.6
collatz,Deno,1000000,837799:524,694.4
collatz,Python+NumPy,1000000,837799:524,5495.5
collatz,C# native,1000000,837799:524,185
collatz,C# vectorized,1000000,837799:524,189
collatz,Poly VM,1000000,837799:524,4862
