benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3806,5418,4223.600,0
sieve,C++,1000000,78498,5,4410.92,5593.04,4812.240,0
sieve,Rust,1000000,78498,5,3969,4505,4212.400,0
sieve,Python,1000000,78498,5,1152157,1262274,1217020.600,0
sieve,JS,1000000,78498,5,58890,68487,63320.600,0
sieve,Bun,1000000,78498,5,150111,154592,151364.400,0
sieve,Deno,1000000,78498,5,40485,42130,41479.400,0
sieve,Py+NumPy,1000000,78498,5,2081,2985,2650.000,0
sieve,C# native,1000000,78498,5,4312,4400,4365.000,0
sieve,C# vectorized,1000000,78498,5,5151,5680,5429.000,0
sieve,Poly VM,1000000,78498,5,4874,5100,4957.200,64
sieve,Poly VM (Normal),1000000,78498,5,5079,5746,5360.000,65
mandelbrot,C,128,458080,5,796,1149,872.600,0
mandelbrot,C++,128,458080,5,787.834,1042.04,849.024,0
mandelbrot,Rust,128,458080,5,787,839,803.000,0
mandelbrot,Python,128,458080,5,51540,52778,52316.400,0
mandelbrot,JS,128,458080,5,3400,3603,3510.200,0
mandelbrot,Bun,128,458080,5,3363,4649,3943.400,0
mandelbrot,Deno,128,458080,5,3179,4051,3554.400,0
mandelbrot,Py+NumPy,128,458080,5,19419,26363,21638.200,0
mandelbrot,C# native,128,458080,5,1131,1511,1316.400,0
mandelbrot,C# vectorized,128,458080,5,1103,3411,1574.200,0
mandelbrot,Poly VM,128,458080,5,2190,3184,2497.000,56
mandelbrot,Poly VM (Normal),128,458080,5,6793,7640,7091.800,60
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3518
nqueens,C,8,92,5,16,16,16.000,0
nqueens,C++,8,92,5,15.583,17,16.192,0
nqueens,Rust,8,92,5,15,21,16.200,0
nqueens,Python,8,92,5,637,656,643.600,0
nqueens,JS,8,92,5,645,810,723.800,0
nqueens,Bun,8,92,5,407,942,590.200,0
nqueens,Deno,8,92,5,649,713,685.000,0
nqueens,Py+NumPy,8,92,5,595,881,707.000,0
nqueens,C# native,8,92,5,160,191,176.200,0
nqueens,C# vectorized,8,92,5,158,172,163.400,0
nqueens,Poly VM,8,92,5,1114,1127,1120.600,52
nqueens,Poly VM (Normal),8,92,5,1214,1243,1225.600,71
collatz,C,1000000,837799:524,5,155831,161980,158686.000,0
collatz,C++,1000000,837799:524,5,162062,198192,170539.000,0
collatz,Rust,1000000,837799:524,5,112695,147046,120291.200,0
collatz,Python,1000000,837799:524,5,5218956,5591941,5398251.400,0
collatz,JS,1000000,837799:524,5,1895082,1939400,1923431.400,0
collatz,Bun,1000000,837799:524,5,360335,361451,361008.600,0
collatz,Deno,1000000,837799:524,5,629828,774002,659799.200,0
collatz,Py+NumPy,1000000,837799:524,5,5063216,5125954,5096360.600,0
collatz,C# native,1000000,837799:524,5,170649,174124,172946.400,0
collatz,C# vectorized,1000000,837799:524,5,173228,174909,173771.400,0
collatz,Poly VM,1000000,837799:524,5,171620,183662,176113.200,42
collatz,Poly VM (Normal),1000000,837799:524,5,930601,955244,936710.400,51
