benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3857,5141,4153.600,0
sieve,C++,1000000,78498,5,4140.17,5125.96,4534.480,0
sieve,Rust,1000000,78498,5,3930,4238,4013.800,0
sieve,Python,1000000,78498,5,1103167,1164545,1134224.800,0
sieve,JS,1000000,78498,5,56098,91510,68956.400,0
sieve,Bun,1000000,78498,5,145723,152099,148174.400,0
sieve,Deno,1000000,78498,5,38946,41067,40216.600,0
sieve,Py+NumPy,1000000,78498,5,2030,2431,2137.400,0
sieve,C# native,1000000,78498,5,3924,4176,4050.600,0
sieve,C# vectorized,1000000,78498,5,4599,5365,4777.400,0
sieve,Poly VM,1000000,78498,5,4205,4397,4279.600,52
sieve,Poly VM (Normal),1000000,78498,5,4744,5088,4889.600,56
mandelbrot,C,128,458080,5,795,828,805.600,0
mandelbrot,C++,128,458080,5,796.208,815.416,800.940,0
mandelbrot,Rust,128,458080,5,778,796,786.600,0
mandelbrot,Python,128,458080,5,47770,48950,48335.600,0
mandelbrot,JS,128,458080,5,3318,3763,3487.800,0
mandelbrot,Bun,128,458080,5,3231,3372,3289.200,0
mandelbrot,Deno,128,458080,5,3020,3210,3105.800,0
mandelbrot,Py+NumPy,128,458080,5,18251,33899,25284.600,0
mandelbrot,C# native,128,458080,5,992,1134,1048.400,0
mandelbrot,C# vectorized,128,458080,5,994,1140,1050.800,0
mandelbrot,Poly VM,128,458080,5,1977,2650,2252.200,60
mandelbrot,Poly VM (Normal),128,458080,5,6047,6785,6450.800,56
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3341
nqueens,C,8,92,5,16,24,17.600,0
nqueens,C++,8,92,5,15.458,16.625,15.883,0
nqueens,Rust,8,92,5,15,16,15.400,0
nqueens,Python,8,92,5,629,657,642.600,0
nqueens,JS,8,92,5,597,675,645.000,0
nqueens,Bun,8,92,5,418,512,474.200,0
nqueens,Deno,8,92,5,618,650,640.600,0
nqueens,Py+NumPy,8,92,5,593,930,665.000,0
nqueens,C# native,8,92,5,152,262,179.800,0
nqueens,C# vectorized,8,92,5,151,198,168.000,0
nqueens,Poly VM,8,92,5,1138,1343,1231.000,53
nqueens,Poly VM (Normal),8,92,5,1199,1461,1299.600,80
collatz,C,1000000,837799:524,5,147212,157644,152148.600,0
collatz,C++,1000000,837799:524,5,151048,198001,164616.000,0
collatz,Rust,1000000,837799:524,5,103257,111599,108101.400,0
collatz,Python,1000000,837799:524,5,5279369,5770617,5428179.800,0
collatz,JS,1000000,837799:524,5,1817909,1951778,1899190.200,0
collatz,Bun,1000000,837799:524,5,339446,361979,349831.800,0
collatz,Deno,1000000,837799:524,5,620117,693260,638917.200,0
collatz,Py+NumPy,1000000,837799:524,5,5046254,5234952,5141865.800,0
collatz,C# native,1000000,837799:524,5,161647,185331,167139.600,0
collatz,C# vectorized,1000000,837799:524,5,162962,178636,170613.400,0
collatz,Poly VM,1000000,837799:524,5,174647,193514,180498.200,47
collatz,Poly VM (Normal),1000000,837799:524,5,935271,937956,936373.400,49
