benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,4.70237
sieve,Rust,1000000,78498,4.0
sieve,Python,1000000,78498,1092.6
sieve,JS,1000000,78498,67.0
sieve,Bun,1000000,78498,157.5
sieve,Deno,1000000,78498,52.9
sieve,Python+NumPy,1000000,78498,2.8
sieve,C# native,1000000,78498,6
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,5
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.786709
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,50.1
mandelbrot,JS,128,458080,3.7
mandelbrot,Bun,128,458080,3.5
mandelbrot,Deno,128,458080,3.8
mandelbrot,Python+NumPy,128,458080,19.2
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,74
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015708
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.8
nqueens,Bun,8,92,0.8
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,35
collatz,C,1000000,837799:524,146.7
collatz,C++,1000000,837799:524,167.081
collatz,Rust,1000000,837799:524,105.1
collatz,Python,1000000,837799:524,5241.0
collatz,JS,1000000,837799:524,1825.7
collatz,Bun,1000000,837799:524,354.7
collatz,Deno,1000000,837799:524,612.3
collatz,Python+NumPy,1000000,837799:524,5100.4
collatz,C# native,1000000,837799:524,170
collatz,C# vectorized,1000000,837799:524,166
collatz,Poly VM,1000000,837799:524,3867
