benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3855,6018,4380.200,0
sieve,C++,1000000,78498,5,4255.96,5560.88,4629.940,0
sieve,Rust,1000000,78498,5,3985,4243,4080.600,0
sieve,Python,1000000,78498,5,1124304,1214208,1164148.600,0
sieve,JS,1000000,78498,5,56372,57583,57064.800,0
sieve,Bun,1000000,78498,5,146567,148815,147784.200,0
sieve,Deno,1000000,78498,5,39753,52306,42731.800,0
sieve,Py+NumPy,1000000,78498,5,2061,2850,2292.200,0
sieve,C# native,1000000,78498,5,4172,4670,4474.800,0
sieve,C# vectorized,1000000,78498,5,4820,15395,7373.000,0
sieve,Poly VM,1000000,78498,5,4658,4718,4684.600,60
sieve,Poly VM (Normal),1000000,78498,5,4729,5345,5089.000,63
mandelbrot,C,128,458080,5,803,848,815.000,0
mandelbrot,C++,128,458080,5,787.75,836.916,809.658,0
mandelbrot,Rust,128,458080,5,788,865,820.200,0
mandelbrot,Python,128,458080,5,50142,54391,51175.800,0
