benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3802,3946,3863.400,0
sieve,C++,1000000,78498,5,4080.58,4862.96,4415.720,0
sieve,Rust,1000000,78498,5,3956,4077,3983.200,0
sieve,Python,1000000,78498,5,1108536,1267860,1178814.000,0
sieve,JS,1000000,78498,5,57905,58811,58366.400,0
sieve,Bun,1000000,78498,5,148741,152026,149884.400,0
sieve,Deno,1000000,78498,5,38651,42480,40513.000,0
sieve,Py+NumPy,1000000,78498,5,1817,2918,2318.400,0
sieve,C# native,1000000,78498,5,4003,4143,4079.000,0
sieve,C# vectorized,1000000,78498,5,4774,4874,4836.400,0
sieve,Poly VM,1000000,78498,5,4605,4809,4705.400,55
sieve,Poly VM (Normal),1000000,78498,5,4815,4900,4863.200,62
mandelbrot,C,128,458080,5,788,807,795.800,0
mandelbrot,C++,128,458080,5,788.792,803.542,797.708,0
mandelbrot,Rust,128,458080,5,786,809,794.000,0
mandelbrot,Python,128,458080,5,47782,48869,48309.200,0
mandelbrot,JS,128,458080,5,3109,3470,3299.600,0
mandelbrot,Bun,128,458080,5,3240,3418,3322.800,0
mandelbrot,Deno,128,458080,5,3126,3217,3167.600,0
mandelbrot,Py+NumPy,128,458080,5,17180,24271,19715.200,0
mandelbrot,C# native,128,458080,5,997,1160,1062.200,0
mandelbrot,C# vectorized,128,458080,5,1071,1183,1115.000,0
mandelbrot,Poly VM,FAILED
mandelbrot,Poly VM (Normal),FAILED
