benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,4.49908
sieve,Rust,1000000,78498,4.1
sieve,Python,1000000,78498,1140.9
sieve,JS,1000000,78498,72.6
sieve,Bun,1000000,78498,194.5
sieve,Deno,1000000,78498,57.0
sieve,Python+NumPy,1000000,78498,2.8
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,4
sieve,Poly VM,1000000,78498,6
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,1.16721
mandelbrot,Rust,128,458080,0.9
mandelbrot,Python,128,458080,49.3
mandelbrot,JS,128,458080,4.0
mandelbrot,Bun,128,458080,3.6
mandelbrot,Deno,128,458080,3.7
mandelbrot,Python+NumPy,128,458080,19.0
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,89
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.016542
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.7
nqueens,Bun,8,92,0.9
nqueens,Deno,8,92,0.6
nqueens,Python+NumPy,8,92,0.7
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,37
collatz,C,1000000,837799:524,162.1
collatz,C++,1000000,837799:524,171.965
collatz,Rust,1000000,837799:524,114.6
collatz,Python,1000000,837799:524,5404.8
collatz,JS,1000000,837799:524,1991.7
collatz,Bun,1000000,837799:524,385.3
collatz,Deno,1000000,837799:524,715.1
collatz,Python+NumPy,1000000,837799:524,5264.6
collatz,C# native,1000000,837799:524,178
collatz,C# vectorized,1000000,837799:524,188
collatz,Poly VM,1000000,837799:524,5387
