benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.7
sieve,C++,1000000,78498,4.68846
sieve,Rust,1000000,78498,4.0
sieve,Python,1000000,78498,1248.5
sieve,JS,1000000,78498,90.8
sieve,Bun,1000000,78498,158.9
sieve,Deno,1000000,78498,52.8
sieve,Python+NumPy,1000000,78498,2.6
sieve,C# native,1000000,78498,5
sieve,C# vectorized,1000000,78498,5
sieve,Poly VM,1000000,78498,6
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.8075
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,49.7
mandelbrot,JS,128,458080,3.5
mandelbrot,Bun,128,458080,3.7
mandelbrot,Deno,128,458080,3.2
mandelbrot,Python+NumPy,128,458080,17.8
mandelbrot,C# native,128,458080,1
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,74
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.017042
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.8
nqueens,Bun,8,92,0.8
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,36
collatz,C,1000000,837799:524,149.5
collatz,C++,1000000,837799:524,165.668
collatz,Rust,1000000,837799:524,103.3
collatz,Python,1000000,837799:524,5259.9
collatz,JS,1000000,837799:524,1833.0
collatz,Bun,1000000,837799:524,351.5
collatz,Deno,1000000,837799:524,631.7
collatz,Python+NumPy,1000000,837799:524,5094.1
collatz,C# native,1000000,837799:524,172
collatz,C# vectorized,1000000,837799:524,172
collatz,Poly VM,1000000,837799:524,3975
