benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3764,4146,3875.200,0
sieve,C++,1000000,78498,5,4051.21,5469.62,4448.760,0
sieve,Rust,1000000,78498,5,3778,5769,4260.800,0
sieve,Python,1000000,78498,5,1092101,1182984,1148054.200,0
sieve,JS,1000000,78498,5,46905,48165,47419.600,0
sieve,Bun,1000000,78498,5,138538,141359,140080.000,0
sieve,Deno,1000000,78498,5,31889,32453,32034.600,0
sieve,Py+NumPy,1000000,78498,5,1775,2044,1921.000,0
sieve,C# native,1000000,78498,5,3542,3734,3611.200,0
sieve,C# vectorized,1000000,78498,5,968,1040,1017.400,0
sieve,Poly VM,1000000,78498,5,3425,3541,3476.200,53
sieve,Poly VM (Normal),1000000,78498,5,3815,3963,3870.000,57
mandelbrot,C,128,458080,5,789,1008,838.000,0
mandelbrot,C++,128,458080,5,789.417,815.25,802.318,0
mandelbrot,Rust,128,458080,5,786,792,789.000,0
mandelbrot,Python,128,458080,5,47159,48730,48105.200,0
mandelbrot,JS,128,458080,5,2326,2504,2417.000,0
mandelbrot,Bun,128,458080,5,2562,2660,2620.400,0
mandelbrot,Deno,128,458080,5,2325,2572,2461.200,0
mandelbrot,Py+NumPy,128,458080,5,16953,23316,18485.000,0
mandelbrot,C# native,128,458080,5,715,799,758.000,0
mandelbrot,C# vectorized,128,458080,5,711,782,758.000,0
mandelbrot,Poly VM,128,458080,5,1053,1077,1064.800,51
mandelbrot,Poly VM (Normal),128,458080,5,1246,1260,1250.400,50
mandelbrot,Poly VM double (bits),128,453734,5,2123,2357,2254.000,51
mandelbrot,mandelbrot_polyvm_double,FAILED
nqueens,C,8,92,5,8,9,8.200,0
nqueens,C++,8,92,5,15.417,16.917,15.858,0
nqueens,Rust,8,92,5,7,9,8.000,0
nqueens,Python,8,92,5,602,626,615.800,0
nqueens,JS,8,92,5,47,58,50.400,0
nqueens,Bun,8,92,5,94,107,98.800,0
nqueens,Deno,8,92,5,35,242,77.400,0
nqueens,Py+NumPy,8,92,5,588,671,613.200,0
nqueens,C# native,8,92,5,29,38,31.600,0
nqueens,C# vectorized,8,92,5,29,33,30.800,0
nqueens,Poly VM,8,92,5,39,42,40.400,54
nqueens,Poly VM (Normal),8,92,5,48,49,48.600,57
collatz,C,1000000,837799:524,5,147144,158528,152934.600,0
collatz,C++,1000000,837799:524,5,150473,160502,156064.800,0
collatz,Rust,1000000,837799:524,5,101979,110269,104119.000,0
collatz,Python,1000000,837799:524,5,5213824,5270340,5243370.400,0
collatz,JS,1000000,837799:524,5,1964143,2207721,2037978.000,0
collatz,Bun,1000000,837799:524,5,333234,339270,336955.600,0
collatz,Deno,1000000,837799:524,5,648968,770901,679532.600,0
collatz,Py+NumPy,1000000,837799:524,5,5024556,5257323,5091653.600,0
collatz,C# native,1000000,837799:524,5,161505,164998,163147.200,0
collatz,C# vectorized,1000000,837799:524,5,161569,165440,163851.000,0
collatz,Poly VM,1000000,837799:524,5,132198,134021,133120.200,182
collatz,Poly VM (Normal),1000000,837799:524,5,181942,195814,187564.600,232
