benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3753,3885,3800.800,0
sieve,C++,1000000,78498,5,4337.17,4709,4556.620,0
sieve,Rust,1000000,78498,5,3949,3999,3970.000,0
sieve,Python,1000000,78498,5,1135308,1196290,1158125.400,0
sieve,JS,1000000,78498,5,55585,59352,57801.000,0
sieve,Bun,1000000,78498,5,151160,159342,154164.400,0
sieve,Deno,1000000,78498,5,39402,41447,40467.400,0
sieve,Py+NumPy,1000000,78498,5,2003,3417,2360.200,0
sieve,C# native,1000000,78498,5,4134,4541,4319.600,0
sieve,C# vectorized,1000000,78498,5,4962,5640,5220.800,0
sieve,Poly VM,1000000,78498,5,4589,4766,4677.200,59
sieve,Poly VM (Normal),1000000,78498,5,5148,5305,5255.200,60
mandelbrot,C,128,458080,5,799,914,840.400,0
mandelbrot,C++,128,458080,5,799.5,947.083,841.674,0
mandelbrot,Rust,128,458080,5,785,811,791.600,0
mandelbrot,Python,128,458080,5,48324,50421,49458.600,0
mandelbrot,JS,128,458080,5,3220,3437,3325.800,0
mandelbrot,Bun,128,458080,5,3299,3567,3385.600,0
mandelbrot,Deno,128,458080,5,3143,3601,3287.400,0
mandelbrot,Py+NumPy,128,458080,5,18945,29350,23442.600,0
mandelbrot,C# native,128,458080,5,1059,1569,1197.400,0
mandelbrot,C# vectorized,128,458080,5,1087,1302,1154.800,0
mandelbrot,Poly VM,128,458080,5,2098,2193,2145.800,48
mandelbrot,Poly VM (Normal),128,458080,5,6176,6713,6387.200,49
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3310
nqueens,C,8,92,5,16,16,16.000,0
nqueens,C++,8,92,5,15.917,17.084,16.517,0
nqueens,Rust,8,92,5,15,16,15.400,0
nqueens,Python,8,92,5,603,643,627.200,0
nqueens,JS,8,92,5,609,752,648.800,0
nqueens,Bun,8,92,5,383,437,413.800,0
nqueens,Deno,8,92,5,649,745,676.800,0
nqueens,Py+NumPy,8,92,5,597,619,605.200,0
nqueens,C# native,8,92,5,159,190,170.400,0
nqueens,C# vectorized,8,92,5,154,190,166.600,0
nqueens,Poly VM,8,92,5,1144,1175,1157.200,55
nqueens,Poly VM (Normal),8,92,5,1274,1422,1333.600,65
collatz,C,1000000,837799:524,5,148065,153424,150155.200,0
collatz,C++,1000000,837799:524,5,150665,161021,154055.400,0
collatz,Rust,1000000,837799:524,5,103854,110527,108583.800,0
