benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3911,8014,5294.400,0
sieve,C++,1000000,78498,5,4144.67,5576.29,4573.520,0
sieve,Rust,1000000,78498,5,3924,4120,4031.400,0
sieve,Python,1000000,78498,5,1108049,1225964,1170146.200,0
sieve,JS,1000000,78498,5,47262,48023,47633.600,0
sieve,Bun,1000000,78498,5,141960,144791,143093.600,0
sieve,Deno,1000000,78498,5,32086,34084,32981.200,0
sieve,Py+NumPy,1000000,78498,5,1895,1954,1928.400,0
sieve,C# native,1000000,78498,5,3630,3968,3810.800,0
sieve,C# vectorized,1000000,78498,5,1023,1085,1049.200,0
sieve,Poly VM,1000000,78498,5,3381,3708,3460.200,62
sieve,Poly VM (Normal),1000000,78498,5,3813,3930,3863.000,65
mandelbrot,C,128,458080,5,788,798,795.200,0
mandelbrot,C++,128,458080,5,787.625,831.334,805.322,0
mandelbrot,Rust,128,458080,5,779,845,795.000,0
mandelbrot,Python,128,458080,5,48168,49577,48786.600,0
mandelbrot,JS,128,458080,5,2521,2917,2676.000,0
mandelbrot,Bun,128,458080,5,2654,2707,2671.600,0
mandelbrot,Deno,128,458080,5,2489,2998,2641.600,0
mandelbrot,Py+NumPy,128,458080,5,16963,18053,17275.200,0
mandelbrot,C# native,128,458080,5,706,804,755.800,0
mandelbrot,C# vectorized,128,458080,5,706,800,747.600,0
mandelbrot,Poly VM,128,458080,5,1056,1131,1087.200,50
mandelbrot,Poly VM (Normal),128,458080,5,1250,1261,1254.000,53
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,2188
nqueens,C,8,92,5,8,9,8.400,0
nqueens,C++,8,92,5,15.5,16.75,15.967,0
nqueens,Rust,8,92,5,7,8,7.800,0
nqueens,Python,8,92,5,604,632,620.800,0
nqueens,JS,8,92,5,44,48,46.000,0
nqueens,Bun,8,92,5,93,106,98.000,0
nqueens,Deno,8,92,5,34,37,35.400,0
nqueens,Py+NumPy,8,92,5,580,663,605.200,0
nqueens,C# native,8,92,5,29,33,30.400,0
nqueens,C# vectorized,8,92,5,28,31,29.800,0
nqueens,Poly VM,8,92,5,46,48,46.400,59
nqueens,Poly VM (Normal),8,92,5,48,50,48.600,61
collatz,C,1000000,837799:524,5,147589,162940,155193.200,0
collatz,C++,1000000,837799:524,5,152841,170227,160937.400,0
collatz,Rust,1000000,837799:524,5,102846,109826,107151.000,0
collatz,Python,1000000,837799:524,5,5298848,5597546,5434803.000,0
collatz,JS,1000000,837799:524,5,2007968,2071594,2028424.600,0
collatz,Bun,1000000,837799:524,5,350796,367310,355491.200,0
collatz,Deno,1000000,837799:524,5,668951,677966,674331.200,0
collatz,Py+NumPy,1000000,837799:524,5,5200851,5817923,5414564.800,0
collatz,C# native,1000000,837799:524,5,163898,176139,170344.400,0
collatz,C# vectorized,1000000,837799:524,5,173216,187854,182785.600,0
collatz,Poly VM,1000000,837799:524,5,133328,142662,137632.200,186
collatz,Poly VM (Normal),1000000,837799:524,5,189716,196758,193806.800,251
