benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3731,3846,3771.200,0
sieve,C++,1000000,78498,5,3989.54,4021.5,4003.820,0
sieve,Rust,1000000,78498,5,3884,4430,4008.400,0
sieve,Python,1000000,78498,5,1084549,1152975,1112673.000,0
sieve,JS,1000000,78498,5,47014,49180,47632.200,0
sieve,Bun,1000000,78498,5,138572,139736,139082.400,0
sieve,Deno,1000000,78498,5,32039,37794,33750.800,0
sieve,Py+NumPy,1000000,78498,5,1892,3604,2363.200,0
sieve,C# native,1000000,78498,5,3545,3784,3652.600,0
sieve,C# vectorized,1000000,78498,5,949,1072,1003.800,0
sieve,Poly VM,1000000,78498,5,3242,3386,3328.000,63
sieve,Poly VM (Normal),1000000,78498,5,3750,3899,3818.200,57
mandelbrot,C,128,458080,5,789,799,793.200,0
mandelbrot,C++,128,458080,5,795.75,797.292,796.676,0
mandelbrot,Rust,128,458080,5,789,859,826.000,0
mandelbrot,Python,128,458080,5,48344,54251,50981.400,0
mandelbrot,JS,128,458080,5,2477,2701,2591.800,0
mandelbrot,Bun,128,458080,5,2629,2697,2662.600,0
mandelbrot,Deno,128,458080,5,2277,2659,2485.000,0
mandelbrot,Py+NumPy,128,458080,5,17844,19064,18162.200,0
mandelbrot,C# native,128,458080,5,709,758,730.600,0
mandelbrot,C# vectorized,128,458080,5,736,774,757.400,0
mandelbrot,Poly VM,128,458080,5,1050,1192,1101.600,50
mandelbrot,Poly VM (Normal),128,458080,5,1260,1693,1426.600,52
mandelbrot,Poly VM double (bits),128,453734,5,2125,2156,2138.400,58
mandelbrot,mandelbrot_polyvm_double,FAILED
nqueens,C,8,92,5,8,15,9.800,0
nqueens,C++,8,92,5,15.584,16.834,15.925,0
nqueens,Rust,8,92,5,8,8,8.000,0
nqueens,Python,8,92,5,624,642,633.200,0
nqueens,JS,8,92,5,44,70,54.000,0
nqueens,Bun,8,92,5,94,179,119.800,0
nqueens,Deno,8,92,5,35,38,36.400,0
nqueens,Py+NumPy,8,92,5,587,597,592.000,0
nqueens,C# native,8,92,5,29,39,31.800,0
nqueens,C# vectorized,8,92,5,29,30,29.400,0
nqueens,Poly VM,8,92,5,45,51,48.400,55
nqueens,Poly VM (Normal),8,92,5,48,56,51.200,65
collatz,C,1000000,837799:524,5,148686,156831,153214.600,0
collatz,C++,1000000,837799:524,5,152655,171453,161755.000,0
collatz,Rust,1000000,837799:524,5,103667,112980,109574.400,0
collatz,Python,1000000,837799:524,5,5247561,5312923,5283079.600,0
collatz,JS,1000000,837799:524,5,2010206,2409826,2142801.000,0
collatz,Bun,1000000,837799:524,5,360698,382514,368046.000,0
collatz,Deno,1000000,837799:524,5,674479,708836,684127.200,0
collatz,Py+NumPy,1000000,837799:524,5,5197035,5844316,5434779.600,0
collatz,C# native,1000000,837799:524,5,161993,169410,166500.000,0
collatz,C# vectorized,1000000,837799:524,5,165190,190827,171058.000,0
collatz,Poly VM,1000000,837799:524,5,134111,189820,148241.800,180
collatz,Poly VM (Normal),1000000,837799:524,5,193986,202009,197560.800,259
